OTU;N3S;N1S;N3B;N1B;N2B;N2S;N4B;N5B;N4S;N7S;N7B;N6S;N5S;N6B
OTU1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
OTU2;0;2;0;1;0;3;6;0;4;2;1;51;0;0
OTU3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
OTU4;0;0;0;4;0;0;0;0;0;0;0;0;0;0
OTU5;63;43;399;11;156;8;694;0;36;1;97;4;2;104
OTU6;0;85;0;0;0;4;0;0;0;0;0;0;0;0
OTU7;0;0;0;0;0;11;0;0;3;1;19;0;1;0
OTU8;0;0;0;0;0;0;0;0;0;0;1;0;0;0
OTU9;0;0;0;0;0;0;1;0;4;0;0;0;0;0
OTU10;16;88;121;611;30;2;1;5;0;0;0;0;0;0
OTU11;2;0;0;2;0;0;0;0;0;0;0;0;0;0
OTU12;0;0;0;0;0;0;5;0;37;0;203;0;0;0
OTU13;4;1;0;0;0;0;0;0;0;0;0;11;0;0
OTU14;0;0;0;0;0;0;3;0;18;17;0;0;0;0
OTU15;126;18;5;9;25;6;22;3;17;0;0;1;0;0
OTU16;0;1;0;0;0;6;0;0;0;0;0;0;0;0
OTU17;0;3;0;0;0;0;0;0;0;0;0;0;0;0
OTU18;0;0;0;0;0;0;3;9;0;0;0;2;0;0
