kingdom;phylum;class;order;family;genus;N3S;N1S;N3B;N1B;N2B;N2S;N4B;N5B;N4S;N7S;N7B;N6S;N5B;N6B
Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cladosporium;9;4663;801;13;28;3343;967;0;815;1421;369;17;1;2
Fungi;;;;;;3272;12888;1332;1470;673;1781;9675;761;3052;4222;7491;7206;167;65
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;975;23605;4;244;65;689;83;10;83;1341;125;57;1;7
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Extremaceae;Extremus;1;0;0;2;4;679;1;3;76;595;43;45;0;1
Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Ramularia;5;601;85;4;3;485;62;0;38;79;49;215;0;14
Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Zopfiella;606;2840;210;2325;209;388;168;15;63;1281;3227;219;19;9
Fungi;Ascomycota;;;;;205;1836;14;57;74;388;226;47;313;1068;484;61;56;18
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Phaeosphaeria;205;2415;20;42;16;326;355;59;120;574;407;89;18;4
Fungi;Ascomycota;Sordariomycetes;Diaporthales;Diaporthaceae;Diaporthe;19;350;3;33;10;283;16170;9;6446;2834;2314;234;40;4
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Didymella;147;4694;0;20;10;266;47;135;123;1161;102;200;3;4
Fungi;Ascomycota;Sordariomycetes;Magnaporthales;Magnaporthaceae;Mycoleptodiscus;1;1;0;1;11;218;0;0;0;0;0;0;0;0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Devriesia;1;2;0;0;0;199;5;0;0;0;0;77;0;0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Briansuttonomyces;78;2639;0;11;7;179;0;57;1;317;35;31;0;0
Fungi;Ascomycota;Leotiomycetes;Erysiphales;Erysiphaceae;Erysiphe;177;1082;53;664;99;174;42;2;166;4;803;2;14;1
Fungi;Ascomycota;Leotiomycetes;Helotiales;Tricladiaceae;Tricladium;0;196;1;1;27;157;633;16;21;0;0;0;0;0
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_ord_Incertae_sedis;Dothideomycetes_fam_Incertae_sedis;Peltaster;0;9;1;0;0;156;47;0;4;0;0;0;0;0
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;5;98;5;52;25;138;138;1;14;39;1552;312;3;2
