Genus;Trophic Mode;Citation;OTU;N3S;N1S;N3B;N1B;N2B;N2S;N4B;N5B;N4S;N7S;N7B;N6S;N5S;N6B
Absidia;Saprotroph;"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))";OTU1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Acarospora;Symbiotroph;"Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))";OTU2;0;2;0;1;0;3;6;0;4;2;1;51;0;0
Acarosporina;Symbiotroph;"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))";OTU3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Acaulospora;Symbiotroph;"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))";OTU4;0;0;0;4;0;0;0;0;0;0;0;0;0;0
Acephala;Saprotroph-Symbiotroph;"Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (as ECM/not ECM); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))";OTU5;63;43;399;11;156;8;694;0;36;1;97;4;2;104
Acericola;Saprotroph;Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2));OTU6;0;85;0;0;0;4;0;0;0;0;0;0;0;0
Acremonium;Pathotroph-Saprotroph-Symbiotroph;"Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Nilsson T. 1973. Studia Forestalia Suecica 104:1-40 ((https://pub.epsilon.slu.se/5711/)); Worrall JJ, et al. 1997. Mycologia 89:199-219 ((https://doi.org/10.2307/3761073)); Hanada RE, et al. 2010. Fungal Biology 114:901-910 ((https://doi.org/10.1016/j.funbio.2010.08.006)); Del Olmo-Ruiz M, Arnold AE. 2014. Mycologia 106:8-21 ((https://doi.org/10.3852/13-098)); Irinyi L, et al. 2015. Medical Mycology 53313-337 ((https://doi.org/10.1093/mmy/myv008)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))";OTU7;0;0;0;0;0;11;0;0;3;1;19;0;1;0
Acroscyphus;Symbiotroph;"Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))";OTU8;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Aequabiliella;Pathotroph;"Crous PW, et al. 2015. Persoonia 34:167-266 ((https://doi.org/10.3767/003158515X688433)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))";OTU9;0;0;0;0;0;0;1;0;4;0;0;0;0;0
Agaricus; Saprotroph;"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))";OTU10;16;88;121;611;30;2;1;5;0;0;0;0;0;0
